iter	Logloss
0	0.692320616
1	0.691471074
2	0.6906761481
3	0.6898464559
4	0.6890209923
5	0.6881997354
6	0.6873802591
7	0.6865631241
8	0.6857638648
9	0.6849581446
10	0.6841189094
11	0.6833275209
12	0.68252218
13	0.6817389788
14	0.6809268313
15	0.6801182574
16	0.6793265277
17	0.6785152938
18	0.6777600864
19	0.676960839
20	0.6761461834
21	0.6753463107
22	0.6745605237
23	0.6737822803
24	0.6730367354
25	0.6722741434
26	0.6715201221
27	0.6707565012
28	0.6699805133
29	0.6692020588
30	0.6683988799
31	0.667636487
32	0.6668871576
33	0.6661163912
34	0.6653519733
35	0.6645800604
36	0.6638221929
37	0.6630331555
38	0.6622706639
39	0.661510946
40	0.660737273
41	0.6599692778
42	0.6592294623
43	0.6584666015
44	0.6577095307
45	0.6569494018
46	0.6561888072
47	0.6554468547
48	0.6546951506
49	0.6539627128
50	0.6532377463
51	0.6525004288
52	0.6517519911
53	0.6510030916
54	0.6502603561
55	0.6495478128
56	0.6488207088
57	0.6480940826
58	0.6473878372
59	0.6466762206
60	0.645945454
61	0.6452127697
62	0.6444816386
63	0.643754091
64	0.6430180023
65	0.6422931675
66	0.6415709274
67	0.6408561159
68	0.6401516793
69	0.6394370717
70	0.6387186244
71	0.6379989366
72	0.6372914523
73	0.6366270095
74	0.6359728811
75	0.6353065192
76	0.6346207116
77	0.633952195
78	0.6332771686
79	0.6326077021
80	0.6319187159
81	0.6312769889
82	0.6306024428
83	0.6299270095
84	0.6292314361
85	0.6285434681
86	0.6278613534
87	0.6271818338
88	0.6265166479
89	0.6258261322
90	0.6251522308
91	0.6244758488
92	0.6238209176
93	0.6231431349
94	0.6224632418
95	0.6218048377
96	0.6211442188
97	0.6204608688
98	0.6198165374
99	0.6191417336
100	0.6184929786
101	0.617865977
102	0.6172069176
103	0.6165485026
104	0.6158964598
105	0.6152751116
106	0.6146226789
107	0.6139937419
108	0.613358669
109	0.612718295
110	0.612088972
111	0.6114508446
112	0.610817428
113	0.6101902779
114	0.609550522
115	0.6089239544
116	0.60830117
117	0.6076558188
118	0.6070322513
119	0.6064124456
120	0.6058135057
121	0.6051718822
122	0.6045664847
123	0.6039534935
124	0.603336832
125	0.6027079544
126	0.6020869156
127	0.6014803731
128	0.6008634882
129	0.6002609177
130	0.5996529537
131	0.5990511076
132	0.5984368078
133	0.5978602518
134	0.5972338464
135	0.596670177
136	0.5960588341
137	0.5954801179
138	0.5948825078
139	0.5943011158
140	0.5937170713
141	0.5931154535
142	0.5925246554
143	0.5919442447
144	0.5913460315
145	0.5907858347
146	0.5901991415
147	0.5896553117
148	0.589073715
149	0.588480943
150	0.5878929847
151	0.5873042934
152	0.5867363016
153	0.586143861
154	0.5855779041
155	0.5850020391
156	0.5844634113
157	0.5839010338
158	0.5833498833
159	0.582780747
160	0.5822216746
161	0.5816548992
162	0.5810988273
163	0.5805359287
164	0.5799862589
165	0.5794191949
166	0.5788394441
167	0.5782982543
168	0.5777310667
169	0.5771810625
170	0.5766512866
171	0.5760813009
172	0.5755122307
173	0.5749518033
174	0.5744061927
175	0.5738601298
176	0.5733206095
177	0.5727678675
178	0.5722218696
179	0.5716702407
180	0.5711619392
181	0.5706184871
182	0.5700920019
183	0.5695627985
184	0.5690135693
185	0.5684777231
186	0.5679402574
187	0.5673968348
188	0.566859848
189	0.5663360692
190	0.5658060959
191	0.5653247678
192	0.5648074458
193	0.56429771
194	0.563786326
195	0.563280625
196	0.5627717286
197	0.5622647269
198	0.5617652624
199	0.5612634408
200	0.5607308991
201	0.5602090478
202	0.5596735582
203	0.5591682203
204	0.5586454698
205	0.5581389246
206	0.5576277494
207	0.5571344516
208	0.5566256055
209	0.5561234313
210	0.5556030219
211	0.5550870087
212	0.5545741363
213	0.5540835345
214	0.5536109999
215	0.5531083579
216	0.5526061596
217	0.5520921541
218	0.5516081025
219	0.5511367372
220	0.5506341535
221	0.5501684814
222	0.5496927573
223	0.549205963
224	0.5487083895
225	0.5482116218
226	0.5477226703
227	0.54722088
228	0.5467319177
229	0.5462582525
230	0.5457791396
231	0.5452942982
232	0.5448346325
233	0.5443728842
234	0.5438990496
235	0.5434152017
