iter	Passed	Remaining
402	13338	52857
403	13372	52826
404	13405	52794
405	13438	52761
406	13470	52722
407	13504	52692
408	13537	52660
409	13571	52632
410	13603	52593
411	13635	52558
412	13672	52537
413	13707	52510
414	13739	52476
415	13774	52450
416	13809	52421
417	13842	52390
418	13875	52354
419	13907	52319
420	13940	52283
421	13972	52246
422	14004	52209
423	14036	52175
424	14072	52151
425	14105	52118
426	14137	52080
427	14168	52038
428	14199	51997
429	14228	51950
430	14259	51908
431	14290	51868
432	14320	51825
433	14350	51779
434	14379	51732
435	14409	51689
436	14439	51646
437	14470	51605
438	14501	51564
439	14533	51526
440	14562	51482
441	14594	51442
442	14623	51396
443	14655	51359
444	14686	51320
445	14716	51277
446	14748	51240
447	14779	51200
448	14813	51170
449	14845	51133
450	14876	51094
451	14906	51050
452	14936	51009
453	14967	50967
454	14996	50920
455	15026	50879
456	15058	50843
457	15088	50800
458	15121	50767
459	15155	50737
460	15188	50706
461	15220	50669
462	15253	50635
463	15286	50602
464	15322	50579
465	15357	50554
466	15372	50462
467	15406	50432
468	15439	50401
469	15476	50381
470	15511	50355
471	15545	50326
472	15579	50296
473	15614	50271
474	15649	50242
475	15680	50204
476	15711	50165
477	15742	50126
478	15773	50087
479	15805	50051
480	15836	50011
481	15866	49968
482	15896	49926
483	15926	49885
484	15956	49844
485	15986	49803
486	16016	49758
487	16046	49718
488	16077	49679
489	16108	49641
490	16140	49605
491	16172	49569
492	16202	49527
493	16232	49486
494	16263	49447
495	16295	49413
496	16327	49376
497	16357	49335
498	16387	49294
499	16417	49251
500	16449	49216
501	16479	49174
502	16510	49136
503	16541	49099
504	16573	49064
505	16604	49024
506	16636	48990
507	16666	48949
508	16696	48909
509	16727	48869
510	16757	48828
511	16786	48784
512	16819	48752
513	16849	48713
514	16880	48675
515	16911	48637
516	16941	48596
517	16973	48560
518	17004	48524
519	17034	48482
520	17064	48441
521	17094	48402
522	17125	48363
523	17156	48325
524	17186	48285
525	17216	48245
526	17247	48208
527	17278	48169
528	17309	48133
529	17341	48096
530	17375	48068
531	17407	48033
532	17440	48002
533	17472	47968
534	17505	47936
535	17542	47914
536	17575	47883
537	17610	47856
538	17643	47823
539	17676	47791
540	17707	47753
541	17737	47714
542	17769	47678
543	17803	47651
544	17836	47619
545	17869	47586
546	17904	47561
547	17940	47536
548	17974	47506
549	18005	47468
550	18037	47433
551	18069	47399
552	18102	47366
553	18134	47332
554	18169	47306
555	18203	47277
556	18239	47251
557	18277	47232
558	18310	47200
559	18344	47170
560	18379	47143
561	18413	47114
562	18446	47083
563	18478	47048
564	18519	47035
565	18553	47006
566	18585	46972
567	18619	46942
568	18652	46910
569	18686	46880
570	18719	46847
571	18752	46815
572	18785	46782
573	18818	46751
574	18852	46721
575	18885	46689
576	18919	46660
577	18953	46628
578	18984	46592
579	19017	46559
580	19048	46521
581	19080	46487
582	19112	46452
583	19143	46416
584	19176	46384
585	19207	46348
586	19239	46311
587	19269	46273
588	19302	46240
589	19334	46205
590	19369	46177
591	19402	46147
592	19436	46117
593	19470	46087
594	19503	46054
595	19536	46021
596	19568	45987
597	19602	45957
598	19633	45921
599	19666	45889
600	19699	45856
601	19733	45826
602	19766	45792
603	19798	45759
604	19832	45729
605	19865	45698
606	19900	45670
607	19934	45639
608	19968	45609
609	19999	45572
610	20035	45546
611	20066	45511
612	20099	45478
613	20133	45448
614	20167	45417
615	20199	45383
616	20231	45348
617	20265	45318
618	20299	45287
619	20330	45251
620	20362	45216
621	20395	45185
622	20430	45157
623	20465	45128
624	20496	45091
625	20530	45061
626	20564	45030
627	20596	44996
628	20628	44963
629	20661	44931
630	20692	44894
631	20725	44860
632	20758	44828
633	20791	44796
634	20823	44762
635	20858	44733
636	20891	44701
637	20926	44674
638	20959	44640
639	20991	44607
640	21025	44576
641	21055	44538
642	21087	44504
643	21121	44472
644	21154	44441
645	21189	44412
646	21222	44380
647	21255	44348
648	21289	44318
649	21323	44287
650	21354	44250
651	21386	44217
652	21421	44187
653	21453	44152
654	21484	44117
655	21516	44082
656	21549	44049
657	21581	44016
658	21616	43987
